Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish
Common beech,0101000020110F000054398C8DB25A00C1B4D79C21E4C45941,>12m Diameter,6666,Fagus sylvatica,Oxford City Area (Unparished)
Downy mespilus 'Robin Hill',0101000020110F0000BD37D599965300C1C15C83DEDDC45941,≤6m Diameter,6665,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished)
Broad-leaved cockspur thorn,0101000020110F00008193CC5DAD4A01C1F696227B60CB5941,≤6m Diameter,6605,Crataegus persimilis 'Prunifolia Splendens',Oxford City Area (Unparished)
Freeman's Maple 'Autumn Blaze',0101000020110F0000624DC91F0D4A01C18B63C5FE66CB5941,>6m ≤12m Diameter,6490,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished)
Silver Lime 'Brabant',0101000020110F00002C3D4EDA3D4A01C1579C807F63CB5941,>12m Diameter,6489,Tilia tomentosa 'Brabant',Oxford City Area (Unparished)
Silver Lime 'Brabant',0101000020110F000089AE08D6E94A01C17DDA33F163CB5941,>12m Diameter,6488,Tilia tomentosa 'Brabant',Oxford City Area (Unparished)
Freeman's Maple 'Autumn Blaze',0101000020110F000066B268FB774B01C1F38DA99F60CB5941,>6m ≤12m Diameter,6487,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F000074FC43C0D24B01C1E3FB05245ACB5941,>6m ≤12m Diameter,6486,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished)
Silver Lime 'Brabant',0101000020110F00002AAA3086024C01C10701A69B5DCB5941,>12m Diameter,6485,Tilia tomentosa 'Brabant',Oxford City Area (Unparished)
Midland Hawthorn 'Crimson Cloud',0101000020110F0000134B022E754C01C1F7FFED3C5BCB5941,≤6m Diameter,6484,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished)
Worplesdon sweet gum,0101000020110F00000CECFC32764D01C1A1BED65C52CB5941,>6m ≤12m Diameter,6482,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Tibetan cherry,0101000020110F00002AA59BB8414E01C1C64A14474FCB5941,>6m ≤12m Diameter,6481,Prunus serrula,Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F000009F636CCC04E01C10608CA8A4DCB5941,>6m ≤12m Diameter,6480,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished)
Worplesdon sweet gum,0101000020110F00001028CCE26D4F01C1B457083C4FCB5941,>6m ≤12m Diameter,6478,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Midland Hawthorn 'Crimson Cloud',0101000020110F00001E72A7A7C84F01C1893A5C184ACB5941,≤6m Diameter,6477,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished)
Downy mespilus 'Robin Hill',0101000020110F000039065E317E5001C133C943AC47CB5941,≤6m Diameter,6476,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished)
Freeman's Maple 'Autumn Blaze',0101000020110F0000CA2E440EA75101C133DDCBB043CB5941,>6m ≤12m Diameter,6464,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished)
Midland Hawthorn 'Crimson Cloud',0101000020110F000016398DE16B5201C1467322D040CB5941,≤6m Diameter,6461,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F0000E39447FF3B5401C1E43BB8D43DCB5941,>6m ≤12m Diameter,6460,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished)
Silver birch,0101000020110F0000827947EFA45401C181E9651238CB5941,>6m ≤12m Diameter,6459,Betula pendula,Oxford City Area (Unparished)
Ulleung Island Rowan,0101000020110F0000F5034EDD935601C13CFBFCFF33CB5941,≤6m Diameter,6458,Sorbus commixta 'Olympic Flame',Oxford City Area (Unparished)
Worplesdon sweet gum,0101000020110F000091CAA2062D5901C19950260229CB5941,>6m ≤12m Diameter,6457,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F0000D58341C59D5901C105D09D3527CB5941,>6m ≤12m Diameter,6455,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished)
Rowan 'Joseph Rock',0101000020110F00007CE93AC7335A01C1DA332AD124CB5941,≤6m Diameter,6454,Sorbus 'Joseph Rock',Oxford City Area (Unparished)
Rowan 'Joseph Rock',0101000020110F00006CE9B653FB5B01C1138A6BAD1DCB5941,≤6m Diameter,6450,Sorbus 'Joseph Rock',Oxford City Area (Unparished)
Hornbeam,0101000020110F000048025122116701C165C1A2B15ACB5941,>12m Diameter,6367,Carpinus betulus,Oxford City Area (Unparished)
Broad-leaved cockspur thorn,0101000020110F0000E40EF5790A6500C1DFB50BBEA9C55941,≤6m Diameter,6365,Crataegus persimilis 'Prunifolia Splendens',Oxford City Area (Unparished)
Alder 'Imperialis',0101000020110F000007C12CA659B600C19CA2FC05B5C85941,>6m ≤12m Diameter,6299,Alnus glutinosa 'Imperialis' ,Old Marston CP
Holm oak,0101000020110F000016DBA9D060B600C1A6138575B1C85941,>6m ≤12m Diameter,6298,Quercus ilex,Old Marston CP
River Birch,0101000020110F0000D4FDA55E6AB600C10C5E9944AEC85941,>6m ≤12m Diameter,6297,Betula nigra,Old Marston CP
Common beech,0101000020110F00003B9CE2BA72B600C101EEB167AAC85941,>12m Diameter,6296,Fagus sylvatica,Old Marston CP
Small-leaved lime,0101000020110F00004AB65FE579B600C189345440A7C85941,>6m ≤12m Diameter,6295,Tilia cordata,Old Marston CP
Rowan 'Joseph Rock',0101000020110F00000F669A0887B600C14FADC09CA3C85941,≤6m Diameter,6294,Sorbus 'Joseph Rock',Old Marston CP
Vilmorin's rowan,0101000020110F0000F913DEDC09A700C119598A43A7C45941,≤6m Diameter,6293,Sorbus vilmorinii,Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F0000FF86A6429E4900C1CFDCC8F41FBF5941,>6m ≤12m Diameter,5612,Cercis canadensis 'Forest Pansy',Blackbird Leys CP
Tulip tree,0101000020110F000088167A230C4A00C157FF8AB229BF5941,>12m Diameter,5610,Liriodendron tulipifera,Blackbird Leys CP
Alder 'Imperialis',0101000020110F0000782C5B93584A00C146E8BA9732BF5941,>6m ≤12m Diameter,5608,Alnus glutinosa 'Imperialis' ,Blackbird Leys CP
Freeman's Maple 'Autumn Blaze',0101000020110F000040273CE6BC4A00C1BEF517D63BBF5941,>6m ≤12m Diameter,5606,Acer x freemanii 'Autumn Blaze',Blackbird Leys CP
